date,no. tweets,Select,no_tweets
2021-02-14,279.0,high-credibility,
2021-02-15,477.0,high-credibility,
2021-02-16,579.0,high-credibility,
2021-02-17,565.0,high-credibility,
2021-02-18,572.0,high-credibility,
2021-02-19,636.0,high-credibility,
2021-02-20,552.0,high-credibility,
2021-02-21,537.0,high-credibility,
2021-02-22,546.0,high-credibility,
2021-02-23,582.0,high-credibility,
2021-02-24,698.0,high-credibility,
2021-02-25,674.0,high-credibility,
2021-02-26,647.0,high-credibility,
2021-02-27,597.0,high-credibility,
2021-02-28,574.0,high-credibility,
2021-03-01,715.0,high-credibility,
2021-03-02,737.0,high-credibility,
2021-03-03,807.0,high-credibility,
2021-03-04,904.0,high-credibility,
2021-03-05,779.0,high-credibility,
2021-03-06,582.0,high-credibility,
2021-03-07,512.0,high-credibility,
2021-03-08,673.0,high-credibility,
2021-03-09,1010.0,high-credibility,
2021-03-10,889.0,high-credibility,
2021-03-11,1208.0,high-credibility,
2021-03-12,1153.0,high-credibility,
2021-03-13,860.0,high-credibility,
2021-03-14,1007.0,high-credibility,
2021-03-15,1392.0,high-credibility,
2021-03-16,1356.0,high-credibility,
2021-03-17,1179.0,high-credibility,
2021-03-18,1097.0,high-credibility,
2021-03-19,1011.0,high-credibility,
2021-03-20,827.0,high-credibility,
2021-03-21,855.0,high-credibility,
2021-03-22,1172.0,high-credibility,
2021-03-23,1186.0,high-credibility,
2021-03-24,1225.0,high-credibility,
2021-03-25,1101.0,high-credibility,
2021-03-26,980.0,high-credibility,
2021-03-27,757.0,high-credibility,
2021-03-28,721.0,high-credibility,
2021-03-29,932.0,high-credibility,
2021-03-30,1059.0,high-credibility,
2021-03-31,947.0,high-credibility,
2021-04-01,1006.0,high-credibility,
2021-04-02,909.0,high-credibility,
2021-04-03,731.0,high-credibility,
2021-04-04,613.0,high-credibility,
2021-04-05,616.0,high-credibility,
2021-04-06,900.0,high-credibility,
2021-04-07,908.0,high-credibility,
2021-04-08,473.0,high-credibility,
2021-04-09,911.0,high-credibility,
2021-04-10,800.0,high-credibility,
2021-04-11,746.0,high-credibility,
2021-04-12,919.0,high-credibility,
2021-04-13,544.0,high-credibility,
2021-04-14,970.0,high-credibility,
2021-04-15,773.0,high-credibility,
2021-04-16,148.0,high-credibility,
2021-04-17,495.0,high-credibility,
